All,सभी
"Received check doesn't match interface","प्राप्त चेक इंटरफ़ेस से मेल नहीं खाता है"
"We cannot register an existing shipment","हम एक मौजूदा शिपमेंट को पंजीकृत नहीं कर सकते"
"Could not delete the shipment comment.","शिपमेंट टिप्पणी को हटाया नहीं जा सका।"
"Could not save the shipment comment.","शिपमेंट टिप्पणी को सहेज नहीं सका।"
"Could not delete the shipment item.","शिपमेंट आइटम को हटाया नहीं जा सका।"
"Could not save the shipment item.","शिपमेंट आइटम को सहेज नहीं सका।"
"Parent shipment cannot be loaded for track object.","ट्रैक ऑब्जेक्ट के लिए पैरेंट शिपमेंट लोड नहीं किया जा सकता है।"
"Could not delete the shipment tracking.","शिपमेंट ट्रैकिंग को हटाया नहीं जा सका।"
"Could not save the shipment tracking.","शिपमेंट ट्रैकिंग को सहेज नहीं सका।"
"Order Id is required for shipment document","शिपमेंट दस्तावेज़ के लिए ऑर्डर आईडी आवश्यक है"
"You can't create a shipment without products.","आप उत्पादों के बिना शिपमेंट नहीं बना सकते।"
"The shipment contains product SKU ""%1"" that is not part of the original order.","शिपमेंट में उत्पाद SKU ""%1"" शामिल है जो मूल आदेश का हिस्सा नहीं है।"
"The quantity to ship must not be greater than the unshipped quantity for product SKU ""%1"".","जहाज की मात्रा उत्पाद SKU ""%1"" के लिए अपरिवर्तित मात्रा से अधिक नहीं होनी चाहिए।"
"Please enter a tracking number.","कृपया एक ट्रैकिंग नंबर दर्ज करें।"
"Could not delete shipment","शिपमेंट को हटाया नहीं जा सका"
"Could not save shipment","शिपमेंट को सहेज नहीं सका"
"The last status can't be unassigned from its current state.","अंतिम स्थिति को इसकी वर्तमान स्थिति से अनसाइन नहीं किया जा सकता है।"
"Status can't be unassigned, because it is used by existing order(s).","स्थिति अप्रमाणित नहीं हो सकती है, क्योंकि इसका उपयोग मौजूदा आदेश द्वारा किया जाता है।"
"Could not delete the order status history.","आदेश स्थिति इतिहास नहीं हटा सका।"
"Could not save the order status history.","आदेश स्थिति इतिहास को सहेज नहीं सका।"
"The total model should be extended from \Magento\Sales\Model\Order\Total\AbstractTotal.","कुल मॉडल को \ Magento \ Sales \ Model \ Order \ Total \ AbstractTotal से बढ़ाया जाना चाहिए।"
"An invoice cannot be created when an order has a status of %1","जब एक आदेश में %1 की स्थिति होती है तो एक चालान नहीं बनाया जा सकता है"
"A creditmemo can not be created when an order has a status of %1","जब एक आदेश में %1 की स्थिति होती है तो एक क्रेडिटमेमो नहीं बनाया जा सकता है"
"The order does not allow a creditmemo to be created.","आदेश एक क्रेडिटमेमो को बनाने की अनुमति नहीं देता है।"
"A shipment cannot be created when an order has a status of %1","जब ऑर्डर में %1 की स्थिति हो तो शिपमेंट नहीं बनाया जा सकता है"
"The order does not allow a shipment to be created.","आदेश एक शिपमेंट बनाने की अनुमति नहीं देता है।"
"""Creditmemo Document Validation Error(s):\n"" .","""क्रेडिटमेमो डॉक्यूमेंट वैलिडेशन एरर (s): \n""।"
"Could not save a Creditmemo, see error log for details","क्रेडिटमेमो को सहेज नहीं सका, विवरण के लिए त्रुटि लॉग देखें"
"Phone Number","फ़ोन नंबर"
"We can't save the address:\n%1","हम पते को नहीं बचा सकते हैं: \n%1"
"Cannot save comment:\n%1","टिप्पणी नहीं बचा सकता: \n%1"
"We don't have enough information to save the parent transaction ID.","हमारे पास पैरेंट ट्रांजेक्शन आईडी को बचाने के लिए पर्याप्त जानकारी नहीं है।"
"We cannot create an empty shipment.","हम एक खाली शिपमेंट नहीं बना सकते।"
"Cannot save track:\n%1","ट्रैक नहीं बचा सकता: \n%1"
"Cannot unassign status from state","राज्य से अघोषित स्थिति नहीं हो सकती"
"New Orders","नए आदेश"
"Order #%1 created at %2","आदेश #%1%2 पर बनाया गया"
"Details for %1 #%2","%1 #%2 के लिए विवरण"
"Notified Date: %1","अधिसूचित तिथि:%1"
"Comment: %1<br/>","टिप्पणी:%1 <br/>"
"Current Status: %1<br/>","वर्तमान स्थिति:%1 <br/>"
"Total: %1<br/>","कुल:%1 <br/>"
"Order # %1 Notification(s)","आदेश #%1 अधिसूचना"
"You can not cancel Credit Memo","आप क्रेडिट मेमो को रद्द नहीं कर सकते"
"Could not cancel creditmemo","क्रेडिटमेमो को रद्द नहीं किया जा सका"
"We cannot register an existing credit memo.","हम एक मौजूदा क्रेडिट मेमो पंजीकृत नहीं कर सकते।"
"We found an invalid quantity to invoice item ""%1"".","हमें आइटम ""%1"" को चालान करने के लिए एक अमान्य मात्रा मिली।"
"The Order State ""%1"" must not be set manually.","ऑर्डर राज्य ""%1"" को मैन्युअल रूप से सेट नहीं किया जाना चाहिए।"
"""Shipment Document Validation Error(s):\n"" .","""शिपमेंट डॉक्यूमेंट वैलिडेशन एरर (ओं): \n""।"
"Could not save a shipment, see error log for details","शिपमेंट को सहेज नहीं सका, विवरण के लिए त्रुटि लॉग देखें"
"VAT Request Identifier","वैट अनुरोध पहचानकर्ता"
"VAT Request Date","वैट अनुरोध तिथि"
"Pending Payment","लंबित भुगतान"
Processing,प्रसंस्करण
"On Hold","होल्ड पर"
Complete,पूर्ण
Closed,"बन्द है"
"Suspected Fraud","संदिग्ध धोखाधड़ी"
"Payment Review","भुगतान की समीक्षा"
New,नया
"Product doesn't exist","उत्पाद मौजूद नहीं है"
"test message","परीक्षण संदेश"
"Email has not been sent","ईमेल नहीं भेजा गया है"
"Authorized amount of %1","%1 की अधिकृत राशि"
" Transaction ID: ""%1"""," लेनदेन आईडी: ""%1"""
View,राय
"Group was removed","समूह हटा दिया गया था"
"Changing address information will not recalculate shipping, tax or other order amount.","पते की जानकारी बदलने से शिपिंग, टैक्स या अन्य ऑर्डर राशि की पुनर्गणना नहीं होगी।"
"Comment Text","टिप्पणी पाठ"
"Notify Customer by Email","ईमेल द्वारा ग्राहक को सूचित करें"
Notified,अधिसूचित
"Not Notified","अधिसूचित नहीं किया गया"
"No Payment Methods","कोई भुगतान विधि नहीं"
"Order Comments","आदेश टिप्पणियां"
"Apply Coupon Code","कूपन कोड लागू करें"
"Remove Coupon Code","कूपन कोड निकालें"
"Address Information","पते की जानकारी"
"Payment &amp; Shipping Information","भुगतान & amp; शिपिंग सूचना"
"Order Total","कुल आदेश"
"Order Currency:","मुद्रा का आदेश दें:"
"Same As Billing Address","बिलिंग पते के समान"
"Select from existing customer addresses:","मौजूदा ग्राहक पतों में से चुनें:"
"Add New Address","नया पता जोड़ें"
"Save in address book","पता पुस्तिका में सहेजें"
"You don't need to select a shipping address.","आपको शिपिंग पते का चयन करने की आवश्यकता नहीं है।"
"Gift Message for the Entire Order","संपूर्ण ऑर्डर के लिए उपहार संदेश"
"Leave this box blank if you don't want to leave a gift message for the entire order.","यदि आप पूरे ऑर्डर के लिए कोई उपहार संदेश नहीं छोड़ना चाहते हैं तो इस बॉक्स को खाली छोड़ दें।"
"Row Subtotal","रो सुबोटल"
"Update Items and Quantities","आइटम और मात्रा अद्यतन करें"
"Total %1 product(s)","कुल < div class = ""notranslate"" > 0 </div> उत्पाद (s)"
Subtotal:,उप-योग:
"Custom Price","कस्टम मूल्य"
"Move to Shopping Cart","शॉपिंग कार्ट में जाएं"
"Subscribe to Newsletter","सूचना पत्र के ग्राहक बनें"
"Click to change shipping method","शिपिंग विधि बदलने के लिए क्लिक करें"
"Sorry, no quotes are available for this order.","क्षमा करें, इस आदेश के लिए कोई उद्धरण उपलब्ध नहीं है।"
"Get shipping methods and rates","शिपिंग तरीके और दरें प्राप्त करें"
"You don't need to select a shipping method.","आपको शिपिंग विधि का चयन करने की आवश्यकता नहीं है।"
"Customer's Activities","ग्राहक की गतिविधियाँ"
Refresh,"ताज़ा करना"
Item,मद
"Add To Order","क्रम मे जोड़े"
"Configure and Add to Order","कॉन्फ़िगर करें और ऑर्डर में जोड़ें"
"No items","कोई वस्तु नहीं"
"Append Comments","टिप्पणियाँ भेजें"
"Email Order Confirmation","ईमेल आदेश पुष्टिकरण"
"Grand Total Excl. Tax","ग्रैंड टोटल एक्सल। कर"
"Grand Total Incl. Tax","ग्रैंड टोटल इंक्ल। कर"
"Subtotal (Excl. Tax)","सबटोटल (एक्सेल टैक्स)"
"Subtotal (Incl. Tax)","सबटोटल (इंकल टैक्स)"
"Payment &amp; Shipping Method","भुगतान & amp; शिपिंग का तरीका"
"Payment Information","भुगतान की जानकारी"
"The order was placed using %1.","आदेश को %1 का उपयोग करके रखा गया था।"
"Shipping Information","शिपिंग सूचना"
"Items to Refund","आइटम रिफंड के लिए"
"Return to Stock","स्टॉक पर लौटें"
"Qty to Refund","वापसी के लिए मात्रा"
"Tax Amount","कर राशि"
"Discount Amount","छूट राशि"
"Row Total","रो कुल"
"No Items To Refund","रिफंड के लिए कोई आइटम नहीं"
"Credit Memo Comments","क्रेडिट मेमो टिप्पणियाँ"
"Refund Totals","रिफंड टोटल"
"Email Copy of Credit Memo","क्रेडिट मेमो की ईमेल कॉपी"
"Please enter a positive number in this field.","कृपया इस क्षेत्र में एक सकारात्मक संख्या दर्ज करें।"
"Items Refunded","आइटम रिफंड किए गए"
"No Items","कोई वस्तु नहीं"
"Memo Total","मेमो टोटल"
"Credit Memo History","क्रेडिट मेमो इतिहास"
"Credit Memo Totals","क्रेडिट मेमो टोटल"
"Customer Name: %1","ग्राहक का नाम:%1"
"Purchased From: %1","से खरीदा:%1"
"Gift Message","उपहार संदेश"
From:,से:
To:,"सेवा मेरे:"
Message:,संदेश:
"Shipping &amp; Handling","शिपिंग और amp; हैंडलिंग"
"Gift Options","उपहार के विकल्प"
"Create Shipment","शिपमेंट बनाएँ"
"Invoice and shipment types do not match for some items on this order. You can create a shipment only after creating the invoice.","चालान और शिपमेंट प्रकार इस आदेश पर कुछ वस्तुओं के लिए मेल नहीं खाते हैं। आप चालान बनाने के बाद ही शिपमेंट बना सकते हैं।"
"Qty to Invoice","आनंद के लिए मात्रा"
"Invoice History","चालान इतिहास"
"Invoice Comments","चालान टिप्पणियाँ"
"Invoice Totals","चालान टोटल"
"Capture Online","ऑनलाइन कैप्चर करें"
"Capture Offline","ऑफ़लाइन कैप्चर करें"
"Not Capture","कब्जा नहीं"
"The invoice will be created offline without the payment gateway.","भुगतान गेटवे के बिना चालान ऑफ़लाइन बनाया जाएगा।"
"Email Copy of Invoice","चालान की ईमेल कॉपी"
"Items Invoiced","आइटम चालान किए गए"
"Total Tax","कुल कर"
"From Name","नाम से"
"To Name","नाम देना"
"Notification Not Applicable","अधिसूचना लागू नहीं"
"Order & Account Information","आदेश और खाता जानकारी"
"The order confirmation email was sent","आदेश पुष्टिकरण ईमेल भेजा गया था"
"The order confirmation email is not sent","आदेश पुष्टिकरण ईमेल नहीं भेजा जाता है"
"Order Date","आदेश की तारीख"
"Order Date (%1)","आदेश दिनांक (%1)"
"Purchased From","से खरीदा"
"Link to the New Order","नए आदेश के लिए लिंक"
"Link to the Previous Order","पिछले आदेश के लिए लिंक"
"Placed from IP","आईपी से रखा गया"
"%1 / %2 rate:","%1 /%2 दर:"
"Edit Customer","ग्राहक संपादित करें"
"Customer Name","ग्राहक का नाम"
"Notes for this Order","इस आदेश के लिए नोट्स"
"Comment added","टिप्पणी जोड़ा गया"
"Transaction Data","लेन - देन के डेटा"
"Transaction ID","लेनदेन आईडी"
"Parent Transaction ID","जनक लेनदेन आईडी"
"Order ID","आदेश कामतत्व"
"Transaction Type","सौदे का प्रकार"
"Is Closed","बंद हो गया है"
"Created At","पर बनाया गया"
"Child Transactions","बाल लेन-देन"
"Transaction Details","लेनदेन का विवरण"
Items,आइटम
"Gift Message for this Order","इस आदेश के लिए उपहार संदेश"
"Shipped By","द्वारा भेजा गया"
"Tracking Number","खोज संख्या"
"Billing Last Name","बिलिंग अंतिम नाम"
"Find Order By","आदेश खोजें"
"ZIP Code","पिन कोड"
"Billing ZIP Code","बिलिंग ज़िप कोड"
Continue,"जारी रहना"
"Print All Refunds","सभी रिफंड प्रिंट करें"
"Refund #","रिफंड #"
"Print Refund","रिफंड प्रिंट करें"
"Product Name","उत्पाद का नाम"
"Order #","आदेश #"
"Ship To","यहां भेजें"
"You have placed no orders.","आपने कोई आदेश नहीं दिया है।"
"No shipping information available","कोई शिपिंग जानकारी उपलब्ध नहीं है"
"Print Order","मुद्रण क्रम"
"Print All Invoices","सभी चालान प्रिंट करें"
"Invoice #","चालान #"
"Print Invoice","चालान छापें"
"Qty Invoiced","मात्रा चालान"
"About Your Order","आपके आदेश के बारे में"
"<span class=""label"">Order Date:</span> %1","<span class = ""लेबल""> ऑर्डर दिनांक: </ span>%1"
"Refund #%1","रिफंड #%1"
"Shipment #%1","शिपमेंट #%1"
"Qty Shipped","काटी भेज दिया"
"Recent Orders","हाल के आदेश"
"View All","सभी को देखें"
"Gift Message for This Order","इस आदेश के लिए उपहार संदेश"
"Recently Ordered","हाल ही में आदेश दिया"
"Credit memo for your %store_name order","आपके %store_name ऑर्डर के लिए क्रेडिट मेमो"
"Thank you for your order from %store_name.","%store_name से आपके आदेश के लिए धन्यवाद।"
"You can check the status of your order by <a href=""%account_url"">logging into your account</a>.","आप अपने आदेश की स्थिति <a href=""%account_url""> अपने खाते में लॉग इन करके </a> देख सकते हैं।"
"If you have questions about your order, you can email us at <a href=""mailto:%store_email"">%store_email</a>","यदि आपके आदेश के बारे में आपके कोई प्रश्न हैं, तो आप हमें <a href=""mailto:%store_email"">%store_email </a> पर ईमेल कर सकते हैं"
"or call us at <a href=""tel:%store_phone"">%store_phone</a>","या हमें <a href=""tel:%store_phone"">%store_phone </a> पर कॉल करें"
"Our hours are <span class=""no-link"">%store_hours</span>.","हमारे घंटे <span class = ""no-link"">%store_hours </ span> हैं।"
"Your Credit Memo #%creditmemo_id for Order #%order_id","आपका क्रेडिट मेमो #%creditmemo_id ऑर्डर के लिए #%order_id"
"Billing Info","बिलिंग जानकारी"
"Shipping Info","शिपिंग जानकारी"
"Update to your %store_name credit memo","अपने %store_name क्रेडिट मेमो को अपडेट करें"
"Your order #%increment_id has been updated with a status of <strong>%order_status</strong>.","आपके आदेश #%increment_id को <strong>%order_status </ strong> की स्थिति के साथ अपडेट किया गया है।"
"Invoice for your %store_name order","आपके%store_name ऑर्डर के लिए चालान"
"Your Invoice #%invoice_id for Order #%order_id","आपका चालान #%invoice_id ऑर्डर के लिए #%order_id"
"Update to your %store_name invoice","अपने %store_name चालान पर अपडेट करें"
"Your %store_name order confirmation","आपका %store_name आदेश की पुष्टि करता है"
"%customer_name,","%ग्राहक का नाम,"
"Once your package ships we will send you a tracking number.","एक बार अपने पैकेज जहाजों हम आपको एक ट्रैकिंग नंबर भेज देंगे ।"
"Your Order <span class=""no-link"">#%increment_id</span>","आपका आदेश <span class = ""no-link""> #%increment_id </ span>"
"Placed on <span class=""no-link"">%created_at</span>","<Span class = ""no-link"">%created_at </ span> पर रखा गया"
"Once your package ships we will send an email with a link to track your order.","एक बार आपके पैकेज के जहाज हम आपके ऑर्डर को ट्रैक करने के लिए एक लिंक के साथ एक ईमेल भेजेंगे।"
"Update to your %store_name order","अपने %store_name क्रम में अपडेट करें"
"Your %store_name order has shipped","आपके %store_name आदेश को भेज दिया गया है"
"Your shipping confirmation is below. Thank you again for your business.","आपके शिपिंग पुष्टि नीचे है। आपके व्यवसाय के लिए फिर से धन्यवाद।"
"Your Shipment #%shipment_id for Order #%order_id","आपका शिपमेंट #%shipment_id के लिए ऑर्डर #%order_id"
"Update to your %store_name shipment","अपने %store_name शिपमेंट में अपडेट करें"
"Gift Options for ","के लिए उपहार विकल्प "
"Add Products","उत्पाद जोड़ें"
"You have item changes","आपके पास आइटम परिवर्तन हैं"
Operations,संचालन
Create,"सर्जन करना"
"Send Order Email","आदेश ईमेल भेजें"
"Accept or Deny Payment","स्वीकार या अस्वीकार करें भुगतान"
"Send Sales Emails","बिक्री ईमेल भेजें"
"Sales Section","बिक्री अनुभाग"
"Sales Emails Section","बिक्री ईमेल अनुभाग"
"Hide Customer IP","ग्राहक आईपी छिपाएँ"
"Choose whether a customer IP is shown in orders, invoices, shipments, and credit memos.","चुनें कि क्या कोई ग्राहक आईपी आदेश, चालान, शिपमेंट और क्रेडिट मेमो में दिखाया गया है।"
"Checkout Totals Sort Order","चेकआउट टोटल्स क्रमबद्ध क्रम"
"Allow Reorder","अनुमति दें"
"Invoice and Packing Slip Design","चालान और पैकिंग पर्ची डिजाइन"
"Logo for PDF Print-outs (200x50)","पीडीएफ प्रिंट-आउट (200x50) के लिए लोगो"
"Your default logo will be used in PDF and HTML documents.<br />(jpeg, tiff, png) If your pdf image is distorted, try to use larger file-size image.","आपका डिफ़ॉल्ट लोगो पीडीएफ और HTML दस्तावेजों में उपयोग किया जाएगा। <br /> (jpeg, tiff, png) यदि आपकी पीडीएफ छवि विकृत है, तो बड़ी फ़ाइल-आकार की छवि का उपयोग करने का प्रयास करें।"
"Logo for HTML Print View","HTML प्रिंट व्यू के लिए लोगो"
"Logo for HTML documents only. If empty, default will be used.<br />(jpeg, gif, png)","केवल HTML दस्तावेजों के लिए लोगो। यदि खाली है, तो डिफ़ॉल्ट का उपयोग किया जाएगा। <br /> (jpeg, gif, png)"
"Minimum Order Amount","न्यूनतम आदेश राशि"
"Minimum Amount","न्यूनतम राशि"
"Subtotal after discount","छूट के बाद सबटोटल"
"Include Tax to Amount","टैक्स टू अमाउंट शामिल करें"
"Description Message","वर्णन संदेश"
"This message will be shown in the shopping cart when the subtotal (after discount) is lower than the minimum allowed amount.","यह संदेश खरीदारी कार्ट में दिखाया जाएगा जब सबटोटल (छूट के बाद) न्यूनतम अनुमत राशि से कम हो।"
"Error to Show in Shopping Cart","शॉपिंग कार्ट में दिखाने में त्रुटि"
"Validate Each Address Separately in Multi-address Checkout","प्रत्येक पते को अलग-अलग मल्टी-एड्रेस चेकआउट में मान्य करें"
"Multi-address Description Message","बहु-पता विवरण संदेश"
"We'll use the default description above if you leave this empty.","यदि आप इसे खाली छोड़ते हैं तो हम ऊपर दिए गए डिफ़ॉल्ट विवरण का उपयोग करेंगे।"
"Multi-address Error to Show in Shopping Cart","शॉपिंग कार्ट में दिखाने के लिए मल्टी-एड्रेस एरर"
"We'll use the default error above if you leave this empty.","यदि आप इसे खाली छोड़ते हैं तो हम ऊपर दिए गए डिफ़ॉल्ट त्रुटि का उपयोग करेंगे।"
"Use Aggregated Data","एग्रीगेटेड डेटा का उपयोग करें"
"Orders Cron Settings","आदेश क्रोन सेटिंग्स"
"Pending Payment Order Lifetime (minutes)","लंबित भुगतान आदेश आजीवन (मिनट)"
"Sales Emails","बिक्री ईमेल"
"Asynchronous sending","अतुल्यकालिक भेजने"
"New Order Confirmation Email Sender","नया आदेश पुष्टिकरण ईमेल प्रेषक"
"New Order Confirmation Template","नया आदेश पुष्टिकरण खाका"
"Email template chosen based on theme fallback when ""Default"" option is selected.","""डिफ़ॉल्ट"" विकल्प का चयन होने पर थीम फ़ॉलबैक के आधार पर चुना गया ईमेल टेम्पलेट।"
"New Order Confirmation Template for Guest","अतिथि के लिए नया आदेश पुष्टिकरण खाका"
"Send Order Email Copy To","आदेश ईमेल प्रति भेजें"
"Send Order Email Copy Method","आदेश ईमेल प्रति कॉपी विधि भेजें"
"Order Comment Email Sender","आदेश टिप्पणी ईमेल प्रेषक"
"Order Comment Email Template","आदेश टिप्पणी ईमेल टेम्पलेट"
"Order Comment Email Template for Guest","आदेश टिप्पणी ईमेल अतिथि के लिए टेम्पलेट"
"Send Order Comment Email Copy To","आदेश टिप्पणी भेजें ईमेल प्रति"
"Send Order Comments Email Copy Method","आदेश भेजें टिप्पणियाँ ईमेल कॉपी विधि"
"Invoice Email Sender","चालान ईमेल प्रेषक"
"Invoice Email Template","चालान ईमेल टेम्पलेट"
"Invoice Email Template for Guest","अतिथि के लिए चालान ईमेल टेम्पलेट"
"Send Invoice Email Copy To","चालान ईमेल प्रति भेजें"
"Send Invoice Email Copy Method","चालान ईमेल कॉपी विधि भेजें"
"Invoice Comment Email Sender","चालान टिप्पणी ईमेल प्रेषक"
"Invoice Comment Email Template","चालान टिप्पणी ईमेल टेम्पलेट"
"Invoice Comment Email Template for Guest","अतिथि के लिए चालान टिप्पणी ईमेल टेम्पलेट"
"Send Invoice Comment Email Copy To","चालान भेजें ईमेल की प्रतिलिपि बनाएँ"
"Send Invoice Comments Email Copy Method","चालान भेजें टिप्पणियाँ ईमेल कॉपी विधि"
Shipment,शिपमेंट
"Shipment Email Sender","शिपमेंट ईमेल प्रेषक"
"Shipment Email Template","शिपमेंट ईमेल टेम्पलेट"
"Shipment Email Template for Guest","अतिथि के लिए शिपमेंट ईमेल टेम्पलेट"
"Send Shipment Email Copy To","शिपमेंट ईमेल प्रति भेजें"
"Send Shipment Email Copy Method","शिपमेंट ईमेल कॉपी विधि भेजें"
"Shipment Comments","शिपमेंट टिप्पणियाँ"
"Shipment Comment Email Sender","शिपमेंट टिप्पणी ईमेल प्रेषक"
"Shipment Comment Email Template","शिपमेंट टिप्पणी ईमेल टेम्पलेट"
"Shipment Comment Email Template for Guest","अतिथि के लिए शिपमेंट टिप्पणी ईमेल टेम्पलेट"
"Send Shipment Comment Email Copy To","शिपमेंट टिप्पणी ईमेल प्रति भेजें"
"Send Shipment Comments Email Copy Method","शिपमेंट भेजें टिप्पणियाँ ईमेल कॉपी विधि"
"Credit Memo Email Sender","क्रेडिट मेमो ईमेल प्रेषक"
"Credit Memo Email Template","क्रेडिट मेमो ईमेल टेम्पलेट"
"Credit Memo Email Template for Guest","अतिथि के लिए क्रेडिट मेमो ईमेल टेम्पलेट"
"Send Credit Memo Email Copy To","क्रेडिट मेमो ईमेल कॉपी भेजें"
"Send Credit Memo Email Copy Method","क्रेडिट मेमो ईमेल कॉपी विधि भेजें"
"Credit Memo Comment Email Sender","क्रेडिट मेमो टिप्पणी ईमेल प्रेषक"
"Credit Memo Comment Email Template","क्रेडिट मेमो टिप्पणी ईमेल टेम्पलेट"
"Credit Memo Comment Email Template for Guest","अतिथि के लिए क्रेडिट मेमो टिप्पणी ईमेल टेम्पलेट"
"Send Credit Memo Comment Email Copy To","भेजें क्रेडिट मेमो टिप्पणी ईमेल कॉपी करने के लिए"
"Send Credit Memo Comments Email Copy Method","भेजें क्रेडिट मेमो टिप्पणियाँ ईमेल कॉपी विधि"
"PDF Print-outs","पीडीएफ प्रिंट-आउट"
"Display Order ID in Header","हेडर में ऑर्डर आईडी प्रदर्शित करें"
"Customer Order Status Notification","ग्राहक आदेश स्थिति अधिसूचना"
"Asynchronous indexing","अतुल्यकालिक अनुक्रमण"
"Orders and Returns Search Form","आदेश और रिटर्न खोज फ़ॉर्म"
"Default Template","पूर्व उपस्थित नमूना"
Phone,फ़ोन
"ZIP/Post Code","ज़िप पोस्ट कोड"
"Signed-up Point","साइन-अप पॉइंट"
"Bill-to Name","बिल-टू नाम"
"Invoice Date","चालान की तारीख"
"Ship-to Name","जहाज का नाम"
"Ship Date","भेजने की तारीख"
"Total Quantity","कुल मात्रा"
"Default Status","डिफ़ॉल्ट स्थिति"
"State Code and Title","राज्य कोड और शीर्षक"
"Item Status","आइटम स्थिति"
"Original Price","मूल कीमत"
"Tax Percent","कर का प्रतिशत"
"PDF Credit Memos","पीडीएफ क्रेडिट मेमो"
"Purchase Point","क्रय बिंदु"
"Print Invoices","चालान प्रिंट करें"
"Print Packing Slips","पैकिंग पर्चियां प्रिंट करें"
"Print Credit Memos","क्रेडिट मेमो प्रिंट करें"
"Print All","सभी प्रिंट करें"
"Print Shipping Labels","शिपिंग लेबल प्रिंट करें"
"Purchase Date","खरीद की तारीख"
"Grand Total (Base)","ग्रैंड टोटल (बेस)"
"Customer Email","ग्राहक ईमेल"
"Shipping and Handling","शिपिंग और हैंडलिंग"
"PDF Invoices","पीडीएफ चालान"
"PDF Shipments","पीडीएफ लदान"
"PDF Creditmemos","पीडीएफ क्रेडिटमोस"
Refunds,रिफंड
"Create New Order for New Customer in %1","%1 में नए ग्राहक के लिए नया ऑर्डर बनाएं"
"The invoice and the shipment  have been created. The shipping label cannot be created now.","इनवॉइस और शिपमेंट बनाया गया है। शिपिंग लेबल अब नहीं बनाया जा सकता है।"
"We will authorize %1 after the payment is approved at the payment gateway.","भुगतान गेटवे पर भुगतान स्वीकृत होने के बाद हम %1 को अधिकृत करेंगे।"
"Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","आदेश को निलंबित कर दिया गया है क्योंकि इसकी अधिकृत राशि %1 के धोखाधड़ी होने का संदेह है।"
"An amount of %1 will be captured after being approved at the payment gateway.","भुगतान गेटवे पर अनुमोदित होने के बाद %1 की राशि पर कब्जा कर लिया जाएगा।"
"Captured amount of %1 online","%1 की राशि ऑनलाइन प्राप्त की गई"
"The order amount of %1 is pending approval on the payment gateway.","भुगतान गेटवे पर%1 की आदेश राशि लंबित है।"
"Ordered amount of %1","%1 की राशि का आदेश दिया"
"Registered notification about captured amount of %1.","%1 की प्राप्त राशि के बारे में पंजीकृत सूचना।"
"Order is suspended as its capture amount %1 is suspected to be fraudulent.","आदेश को निलंबित कर दिया गया है क्योंकि इसकी कब्जा राशि %1 के धोखाधड़ी होने का संदेह है।"
"We found an invalid quantity to ship for item ""%1"".","हमें आइटम ""%1"" के लिए जहाज करने के लिए एक अमान्य मात्रा मिली।"
order-header,"आदेश हेडर"
"Something went wrong","कुछ गलत हो गया"
"Improves dashboard performance but provides non-realtime data.","डैशबोर्ड प्रदर्शन में सुधार करता है, लेकिन गैर-वास्तविक समय डेटा प्रदान करता है।"
"Invalid Form Key. Please refresh the page.","अमान्य प्रपत्र कुंजी। कृपया पेज को रिफ्रेश करें।"
"Sample message.","नमूना संदेश।"
"Limit per cron run","प्रति क्रोन रन की सीमा"
"Grid Settings","ग्रिड सेटिंग्स"
"Use Aggregated Data (beta)","एग्रीगेटेड डेटा (बीटा) का उपयोग करें"
"Could not save the comment.","टिप्पणी सहेज नहीं सका।"
"Authorized amount of %1.","%1 की अधिकृत राशि।"
"Authorized amount of %1. Order is suspended as its authorizing amount %1 is suspected to be fraudulent.","%1 की अधिकृत राशि। आदेश को निलंबित कर दिया गया है क्योंकि इसकी अधिकृत राशि %1 के धोखाधड़ी होने का संदेह है।"
"Captured amount of %1 online.","%1 की राशि ऑनलाइन प्राप्त की गई।"
"Product is not salable.","उत्पाद बिक्री योग्य नहीं है।"
"Get available payment methods","उपलब्ध भुगतान विधियाँ प्राप्त करें"
"Allow Zero GrandTotal","शून्य ग्रैंडोटल की अनुमति दें"
"Allow Zero GrandTotal for Creditmemo","Creditmemo के लिए शून्य ग्रांडटोटल की अनुमति दें"
"Include Discount Amount","डिस्काउंट राशि शामिल करें"
"The comment is missing. Enter and try again.","टिप्पणी गायब है। दर्ज करें और फिर से प्रयास करें।"
"The ""%1"" coupon code isn't valid. Verify the code and try again.","""%1"" कूपन कोड मान्य नहीं है। कोड सत्यापित करें और पुनः प्रयास करें।"
"The quote item ID needs to be received. Set the ID and try again.","उद्धरण आइटम आईडी प्राप्त करने की आवश्यकता है। आईडी सेट करें और फिर से प्रयास करें।"
"The quote item needs to be loaded. Load the item and try again.","उद्धरण आइटम को लोड करने की आवश्यकता है। आइटम लोड करें और फिर से प्रयास करें।"
"The invoice can't be created without products. Add products and try again.","उत्पादों के बिना इनवॉइस नहीं बनाया जा सकता है। उत्पादों को जोड़ें और फिर से प्रयास करें।"
"The invoice can't be saved at this time. Please try again later.","इस समय चालान को बचाया नहीं जा सकता है। बाद में पुन: प्रयास करें।"
"The shipping method is missing. Select the shipping method and try again.","शिपिंग विधि गायब है। शिपिंग विधि का चयन करें और फिर से प्रयास करें।"
"The payment method isn't selected. Enter the payment method and try again.","भुगतान विधि चयनित नहीं है। भुगतान विधि दर्ज करें और पुनः प्रयास करें।"
